-,English,Russian,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Arabic
menu_start,Start New Game,Начать новую игру,Neues Spiel starten,Empieza un juego nuevo,새 게임 시작,Commencer une nouvelle partie,Começar novo jogo,新しいゲームを開始,Inizia una nuova partita,开始新游戏,เริ่มเกมใหม่,ابدأ لعبة جديدة
menu_load,Load game,Загрузить игру,Spiel laden,Cargar juego,게임 로드,Chargement du jeu,Carregar jogo,ゲームをロード,Carica gioco,加载游戏,โหลดเกมส์,لعبة تحميل
menu_settings,Settings,Настройки,Einstellungen,Ajustes,설정,Réglages,Definições,設定,Impostazioni,设置,การตั้งค่า,إعدادات
exit,Exit,Выход,Ausgang,Salida,출구,Sortir,Saída,出口,Uscita,出口,ทางออก,مخرج
settings_cannibals,Cannibals ammount,Количество каннибалов,Kannibalen Menge,Cantidad de caníbales,식인종,Quantité de cannibales,Quantidade de canibais,人食い人種の量,I cannibali aumentano,食人族数量,จำนวนคนกินคน,آكلي لحوم البشر
settings_wildLife,Wild life amount,Количество животных,Menge an wildem Leben,Cantidad de vida salvaje,야생 생활량,Quantité de vie sauvage,quantidade de vida selvagem,野生生物の量,Importo della vita selvaggia,野生动物数量,จำนวนชีวิตสัตว์ป่า,كمية الحياة البرية
settings_birds,Birds amount,Количество птиц,Vögel Menge,cantidad de aves,새 금액,Quantité d'oiseaux,Quantidade de pássaros,鳥の量,Importo uccelli,鸟类数量,จำนวนนก,كمية الطيور
settings_island,Island size,Размер острова,Inselgröße,Tamaño de la isla,섬 크기,Taille de l'île,Tamanho da ilha,島の大きさ,Dimensione dell'isola,岛屿大小,ขนาดเกาะ,حجم الجزيرة
settings_few,Few,Мало,Wenig,Pocos,약간의,Peu,Alguns,少し,Pochi,很少,น้อย,عدد قليل
settings_average,Average,Средне,Durchschnitt,Promedio,평균,Moyen,Média,平均,Media,平均,เฉลี่ย,متوسط
settings_many,Many,Много,Viele,Muchos,많은,De nombreux,Muitos,たくさんの,Molti,许多,มากมาย,عديدة
settings_small,Small,Небольшой,Klein,Pequeña,작은,Petit,Pequena,小さな,Piccolo,小的,เล็ก,صغير
settings_decent,Decent,Приличный,Anständig,Decente,품위 있는,Décent,Decente,ちゃんとした,Decente,体面的,เหมาะสม,مقبول
settings_big,Big,Большой,Groß,Grande,큰,Gros,Grande,大きい,Grande,大的,ใหญ่,كبير
settings,Settings,Настройки,Einstellungen,Ajustes,설정,Réglages,Definições,設定,Impostazioni,设置,การตั้งค่า,إعدادات
new_game_description,"When creating a new game, the old game will be deleted",При создании новой игры старая игра будет удалена,Beim Erstellen eines neuen Spiels wird das alte Spiel gelöscht,"Al crear un juego nuevo, el juego anterior se eliminará",새 게임 생성 시 기존 게임 삭제,"Lors de la création d'un nouveau jeu, l'ancien jeu sera supprimé","Ao criar um novo jogo, o jogo antigo será excluído",新しいゲームを作成すると、古いゲームは削除されます,"Quando crei un nuovo gioco, il vecchio gioco verrà eliminato",创建新游戏时，旧游戏将被删除,เมื่อสร้างเกมใหม่ เกมเก่าจะถูกลบ,عند إنشاء لعبة جديدة ، سيتم حذف اللعبة القديمة
ok,OK,ОК,OK,OK,Ok,OK,OK,OK,OK,好的,ตกลง,نعم
cancel,Cancel,Отменить,Absagen,Cancelar,취소,Annuler,Cancelar,キャンセル,Annulla,取消,ยกเลิก,يلغي
loading_header,Loading Island...,Загружаем остров...,Insel wird geladen...,Cargando isla...,섬 로드 중...,Chargement de l'île...,Carregando Ilha...,島を読み込んでいます...,Caricamento isola...,加载岛屿...,กำลังโหลดเกาะ...,تحميل الجزيرة ...
